"uidplot","yr","Sporobolus_rigens","Noticastrum_sericeum","Panicum_urvilleanum","Hoffmannseggia_trifoliata","Plantago_patagonica","Nassella_tenuis","Galium_richardianum","Hypochaeris_radicata","Facelis_retusa","Gamochaeta_sp","Erodium_cicutarium","Schismus_barbatus","Vulpia_bromoides","Bare ground","Litter","Moss","Cardionema_ramosissima","Forb_6 (sanpablovaldes)","Forb_5 (sanpablovaldes)","Disturbance_burrow","Pappostipa_speciosa","Herniaria_cinerea","Junellia_connatibracteata","Pectocarya_linearis","Piptochaetium_napostaense","Descurainia_sp","Poa_lanuginosa","Ephedra_ochreata","Vicia pampicola","Maihueniopsis_darwinii","Hordeum_murinum","Grass_4 (sanpablovaldes)","Bromus_sp","Forb_7 (sanpablovaldes)","Forb_12 (sanpablovaldes)","Forb_11 (sanpablovaldes)","Forb_13 (sanpablovaldes)"
"Partial2","2017",2,1,3,4,2,20,1,2,2,1,1,1,1,40,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure2","2017",3,1,0,0,0,50,15,3,8,2,2,1,0,35,1,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control2","2017",5,1,1,0,1,8,1,1,2,8,8,0,1,51,10,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partial1","2017",3,0,2,0,0,30,2,3,3,2,2,1,4,40,5,30,2,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure1","2017",3,0,2,0,0,40,0,3,7,2,1,1,0,20,5,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control1","2017",15,1,2,0,0,5,1,3,2,5,3,3,0,40,25,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partial3","2017",0,9,10,2,0,15,3,1,2,4,0,1,0,60,1,3,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure3","2017",1,4,4,0,1,7,2,3,2,4,0,1,1,60,1,3,0,0,0,50,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control3","2017",3,1,0,0,0,13,1,4,1,13,0,1,1,20,2,40,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Partial4","2017",5,0,0,0,2,20,1,3,15,3,1,1,3,30,4,60,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure4","2017",10,0,0,0,1,15,2,2,35,3,0,0,1,10,15,50,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control4","2017",25,0,0,0,0,10,0,3,2,7,2,1,0,45,15,10,3,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"Partial5","2017",1,2,0,0,0,35,6,0,7,5,0,1,1,30,1,2,2,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure5","2017",3,7,0,0,0,35,6,1,8,4,0,0,0,40,3,12,1,0,0,0,1,1,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0
"Control5","2017",1,1,0,0,0,15,1,2,5,15,0,1,1,50,2,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Partial6","2017",10,0,0,0,0,7,0,3,3,4,4,5,0,60,5,3,1,1,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure6","2017",2,2,0,0,0,7,7,5,2,8,3,7,2,50,1,4,0,0,0,10,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Control6","2017",2,1,0,0,3,10,1,3,4,10,0,2,2,40,3,20,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Partial1","2018",4,0,0,0,0,30,4,0,5,2,4,2,3,40,10,35,2,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Exclosure1","2018",3,1,1,0,0,25,0,1,5,3,0,1,0,10,2,50,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Control1","2018",6,2,1,0,0,15,1,1,1,1,0,15,1,35,5,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Control2","2018",6,0,0,0,1,15,1,2,4,1,8,6,1,50,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure2","2018",3,2,1,0,0,30,2,0,3,0,1,1,1,35,15,11,1,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0
"Partial2","2018",3,2,5,0,5,25,0,0,1,1,2,5,1,35,10,15,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
"Exclosure4","2018",5,0,0,0,8,20,1,2,20,3,0,0,2,10,4,60,0,0,0,0,3,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
"Partial4","2018",2,1,1,0,5,15,1,1,4,1,3,1,0,30,2,40,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Control4","2018",7,2,0,0,0,10,1,2,2,4,0,0,2,50,5,15,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Exclosure3","2018",2,3,4,0,1,10,0,3,2,1,0,1,1,50,1,5,1,1,0,0,0,0,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"Partial3","2018",0,3,7,0,0,12,2,1,1,3,0,1,1,63,3,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Control3","2018",2,1,0,0,0,15,0,2,2,10,0,0,1,40,3,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure5","2018",3,5,0,0,0,35,1,1,3,1,0,0,1,20,7,20,1,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
"Partial5","2018",1,2,0,0,0,30,2,0,3,3,0,1,0,50,3,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control5","2018",2,0,0,0,0,7,0,2,2,5,0,3,1,70,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Exclosure6","2018",3,4,0,2,0,6,3,1,2,1,2,6,1,80,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"Partial6","2018",2,0,0,0,0,5,0,1,2,1,5,6,1,75,3,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Control6","2018",1,0,0,0,1,10,0,2,1,7,0,1,2,70,1,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Partial1","2019",1,1,1,0,0,37,1,0,10,1,1,1,5,40,4,40,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure1","2019",2,1,2,0,0,50,1,0,5,1,0,1,5,20,4,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control1","2019",6,1,1,0,0,16,3,0,4,1,1,6,3,38,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control2","2019",4,0,1,0,1,15,1,2,20,1,1,5,8,50,3,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Exclosure2","2019",2,2,1,0,0,35,5,0,1,0,0,0,0,25,3,25,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"Partial2","2019",3,2,3,0,4,25,0,0,2,0,0,1,0,40,10,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Exclosure4","2019",8,0,0,0,40,25,5,1,25,0,0,0,5,10,8,60,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partial4","2019",2,1,1,0,30,15,2,1,5,1,0,0,2,15,3,70,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control4","2019",20,1,0,0,0,10,4,1,6,2,1,1,12,40,10,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Exclosure3","2019",1,1,2,0,1,3,2,2,1,0,1,1,3,66,3,0,0,0,1,20,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Partial3","2019",0,4,7,0,1,12,2,1,2,0,1,1,2,60,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Control3","2019",2,1,0,0,1,25,0,1,3,4,1,1,3,20,2,33,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure5","2019",3,5,0,0,0,35,2,1,3,0,0,0,1,10,4,50,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Partial5","2019",1,1,0,0,0,35,1,0,12,1,0,0,1,30,1,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control5","2019",2,0,0,0,0,10,0,1,4,5,0,2,5,65,2,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Exclosure6","2019",5,5,0,3,1,35,20,1,3,0,0,1,2,20,2,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Partial6","2019",10,1,0,0,1,15,1,1,7,0,0,7,1,55,2,35,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Control6","2019",3,1,0,0,1,12,1,1,4,3,0,1,2,60,2,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partial1","2020",1,1,3,0,0,25,0,0,0,5,5,1,22,20,10,18,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Exclosure1","2020",2,1,2,0,1,30,2,0,0,2,1,0,35,15,20,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control1","2020",5,2,0,0,0,7,0,1,8,2,2,5,6,50,15,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Control2","2020",5,0,0,0,3,11,1,2,11,2,7,2,7,38,5,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure2","2020",3,3,3,0,1,40,2,0,10,0,0,0,3,15,5,25,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Partial2","2020",7,3,0,1,10,25,0,0,4,0,3,0,0,25,10,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0
"Exclosure4","2020",5,1,0,0,33,4,0,0,2,0,0,1,15,4,7,65,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partial4","2020",2,2,1,0,20,15,1,0,1,0,1,0,5,5,15,75,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control4","2020",20,1,0,0,2,10,0,1,4,1,1,0,10,35,15,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure3","2020",2,4,5,1,0,7,0,3,5,1,1,2,9,60,2,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partial3","2020",1,4,12,0,0,4,2,1,5,2,1,1,7,50,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Control3","2020",2,2,0,0,2,15,0,2,5,5,1,1,4,20,5,35,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Exclosure5","2020",3,8,0,0,0,20,2,1,2,0,1,1,5,10,8,65,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partial5","2020",2,1,0,0,0,33,0,0,8,1,0,0,0,15,10,25,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Control5","2020",1,1,0,0,0,10,0,1,6,5,0,6,8,54,2,3,2,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Exclosure6","2020",4,10,0,5,1,25,4,1,2,0,1,1,5,20,7,25,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Partial6","2020",5,3,0,0,4,10,3,1,20,0,7,3,3,25,10,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control6","2020",4,0,0,0,3,15,0,1,6,3,1,1,5,45,3,10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Partial1","2021",0,2,4,0,0,8,0,0,12,0,0,0,10,25,10,15,0,0,0,7,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"Exclosure1","2021",2,4,3,0,0,2,0,0,0,0,0,0,20,4,10,25,3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
"Control1","2021",5,4,0,0,1,5,0,0,20,1,0,6,4,40,10,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Control2","2021",6,1,0,0,3,10,1,0,5,1,15,4,9,35,8,2,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure2","2021",1,5,3,0,0,30,0,0,0,1,0,0,2,8,20,15,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"Partial2","2021",5,3,4,4,2,12,0,0,2,0,0,1,2,15,15,30,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Exclosure4","2021",6,6,0,0,30,2,0,0,0,0,0,1,15,2,30,50,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Partial4","2021",3,3,2,0,25,10,3,1,3,0,1,1,8,6,7,80,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Control4","2021",8,1,0,0,2,8,1,4,6,1,1,1,10,20,15,45,6,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"Exclosure3","2021",2,3,7,0,0,4,2,2,5,0,2,2,5,55,7,1,0,0,0,0,1,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Partial3","2021",1,5,10,0,0,4,3,1,3,1,1,3,5,65,12,4,0,0,1,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Control3","2021",1,1,0,0,2,30,0,1,8,4,0,1,8,8,3,50,2,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"Exclosure5","2021",3,5,0,0,0,50,1,0,1,0,0,0,4,4,25,50,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Partial5","2021",2,3,0,0,0,35,0,1,8,0,0,0,2,12,6,40,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Control5","2021",1,1,0,0,0,8,1,3,6,3,0,6,3,55,3,1,4,0,0,15,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
"Exclosure6","2021",3,15,0,75,0,15,1,1,1,0,0,0,1,2,10,20,1,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0
"Partial6","2021",10,5,0,0,10,10,2,2,15,0,2,1,1,20,15,40,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Control6","2021",4,0,0,0,10,10,1,1,10,1,0,0,2,50,3,15,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Partial1","2022",0,6,8,0,0,5,0,0,4,0,0,1,9,15,10,15,0,0,0,7,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
"Exclosure1","2022",3,5,2,0,0,1,0,0,1,0,0,0,0,1,20,80,3,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
"Control1","2022",12,4,0,0,1,7,0,1,17,0,0,1,2,33,5,17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Control2","2022",7,1,0,0,2,20,0,1,4,2,0,1,4,40,15,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure2","2022",1,5,4,0,0,2,0,0,1,0,0,0,0,4,12,55,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
"Partial2","2022",2,3,8,5,1,5,0,0,2,1,0,0,2,20,10,35,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Exclosure4","2022",5,9,0,0,7,2,0,0,0,0,0,0,3,2,40,30,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Partial4","2022",5,4,4,0,5,5,2,0,1,1,0,0,5,5,10,80,1,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Control4","2022",8,1,0,0,1,8,1,1,6,1,0,0,2,35,20,12,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Exclosure3","2022",1,2,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
"Partial3","2022",0,4,20,0,1,5,3,1,2,0,0,1,1,48,7,5,0,1,0,20,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Control3","2022",1,1,0,0,1,30,2,1,4,1,0,1,3,42,1,7,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Exclosure5","2022",5,10,0,0,0,40,1,0,0,0,0,0,0,2,30,40,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
"Partial5","2022",2,3,0,0,0,40,1,0,4,1,0,1,4,5,5,50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Control5","2022",2,1,0,0,0,12,1,2,4,1,0,2,3,66,1,0,5,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Exclosure6","2022",4,35,0,30,0,7,1,0,0,0,1,0,1,1,20,50,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0
"Partial6","2022",15,12,0,0,2,8,1,1,3,0,1,1,2,20,20,50,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Control6","2022",5,0,0,0,3,25,3,2,6,0,0,0,1,35,6,25,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Partial1","2023",0,5,10,0,0,10,0,0,3,0,1,0,5,5,30,40,0,0,1,5,0,1,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0
"Exclosure1","2023",2,4,2,0,0,4,0,0,1,0,1,0,0,1,40,75,1,0,0,0,0,1,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
"Control1","2023",15,3,1,0,1,10,1,1,20,0,1,2,3,40,15,25,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0
"Control2","2023",12,2,0,0,1,32,1,0,7,1,1,2,2,40,15,1,1,0,3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0
"Exclosure2","2023",2,10,4,0,0,2,1,0,1,0,0,0,0,5,35,85,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
"Partial2","2023",2,9,8,5,0,4,0,0,1,1,1,0,2,15,20,42,0,0,1,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
"Exclosure4","2023",5,13,0,0,0,1,3,1,1,0,0,0,4,2,25,80,0,0,1,0,2,1,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0
"Partial4","2023",2,7,4,0,1,5,4,0,1,0,0,0,6,5,10,85,1,0,1,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"Control4","2023",10,2,0,0,0,12,2,0,2,1,1,0,8,50,12,10,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
"Exclosure3","2023",1,7,35,3,0,5,1,1,1,0,0,1,2,3,50,15,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"Partial3","2023",0,7,20,1,0,4,4,0,1,0,1,1,2,50,7,3,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Control3","2023",2,2,0,0,1,30,2,1,3,1,0,1,5,45,1,20,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0
"Exclosure5","2023",7,10,0,0,0,35,4,0,0,0,0,0,1,3,50,35,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
"Partial5","2023",3,4,0,0,0,40,3,1,4,0,0,1,7,4,4,70,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"Control5","2023",2,1,0,0,0,6,4,0,2,1,0,3,5,70,2,0,3,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"Exclosure6","2023",4,35,0,0,0,5,2,0,0,0,0,0,0,2,30,50,0,0,0,0,0,0,0,0,0,0,25,10,0,0,0,0,0,0,0,0,0
"Partial6","2023",10,12,0,0,1,6,4,0,1,0,1,1,1,10,20,55,1,0,1,1,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0
"Control6","2023",5,3,0,0,1,33,3,0,4,1,0,1,4,40,3,12,2,0,2,0,0,1,1,2,0,2,0,0,0,0,1,0,0,1,1,0,0
"Partial1","2024",0,8,10,0,1,2,1,1,8,3,1,0,25,7,22,30,0,1,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"Exclosure1","2024",2,6,3,0,0,2,1,0,3,1,0,0,2,3,36,80,1,0,1,0,0,0,0,0,0,0,55,0,0,0,0,0,1,0,0,0,0
"Control1","2024",27,3,0,0,2,6,2,1,15,2,1,3,7,40,15,25,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"Control2","2024",10,1,1,0,3,25,1,0,8,4,1,1,5,55,10,3,1,0,2,0,0,1,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0
"Exclosure2","2024",2,8,4,0,0,1,2,0,1,1,0,0,1,25,25,10,0,0,0,0,0,0,0,0,0,0,50,0,2,0,0,0,0,0,0,0,0
"Partial2","2024",2,15,9,4,1,3,0,0,9,2,1,1,12,20,6,60,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0
"Exclosure4","2024",8,15,1,0,1,0,2,0,1,1,0,0,30,35,10,30,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Partial4","2024",3,10,5,0,8,2,3,1,5,1,0,0,12,10,5,80,0,1,1,0,2,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0
"Control4","2024",15,2,0,0,2,20,2,1,5,1,1,1,10,50,12,6,5,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Exclosure3","2024",1,1,27,2,1,5,0,0,0,1,0,0,15,5,30,0,0,0,0,0,1,0,4,0,0,0,5,0,2,0,1,0,0,0,0,0,0
"Partial3","2024",2,6,15,1,1,4,3,1,2,1,0,2,3,50,7,1,0,0,0,5,0,1,2,1,0,0,1,0,3,0,0,0,0,0,0,0,0
"Control3","2024",3,3,0,0,3,35,4,1,4,2,0,1,9,40,2,5,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"Exclosure5","2024",5,10,0,0,0,40,4,1,2,0,0,0,4,3,10,40,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0
"Partial5","2024",3,8,0,0,0,25,5,1,8,1,0,2,6,5,2,65,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Control5","2024",6,1,0,0,1,8,4,2,2,1,1,2,3,60,4,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Exclosure6","2024",5,25,0,1,0,3,3,0,0,1,0,0,4,2,15,90,0,0,0,0,0,0,0,0,0,0,30,12,0,0,0,0,0,0,0,0,0
"Partial6","2024",5,20,0,0,5,2,3,0,3,0,1,1,4,10,20,60,0,1,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
"Control6","2024",6,2,0,0,2,30,4,0,2,2,0,1,3,40,4,30,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0
"Partial1","2025",0,35,10,0,0,0,6,3,2,1,0,0,10,5,30,20,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
"Exclosure1","2025",2,11,4,0,0,2,6,1,0,0,0,0,0,0,66,80,2,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
"Control1","2025",15,3,0,0,1,8,1,3,3,1,0,3,2,30,20,35,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Control2","2025",10,1,1,0,1,33,2,1,1,2,1,2,2,40,15,3,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Exclosure2","2025",3,13,2,0,0,2,1,0,1,0,0,0,0,2,45,95,0,0,0,0,0,0,0,0,0,0,55,0,8,0,0,0,0,0,0,0,0
"Partial2","2025",2,12,5,20,1,3,1,0,4,1,0,2,1,10,5,50,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"Exclosure4","2025",4,25,2,0,1,0,5,0,0,0,0,0,8,5,20,75,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Partial4","2025",1,15,7,0,5,1,4,0,0,0,0,0,20,8,5,90,0,0,0,0,3,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0
"Control4","2025",10,1,0,0,2,18,4,2,1,1,1,1,5,40,12,5,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Exclosure3","2025",1,1,8,2,0,2,1,0,0,0,0,0,4,1,25,25,0,0,0,0,0,0,15,0,0,0,8,0,50,0,0,0,0,0,0,0,0
"Partial3","2025",2,4,15,1,1,1,1,1,1,1,0,8,1,50,2,1,0,0,0,7,0,1,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0
"Control3","2025",3,3,0,0,2,26,3,1,1,1,0,0,2,55,1,10,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"Exclosure5","2025",5,10,1,0,0,50,4,0,1,0,0,0,2,2,70,60,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
"Partial5","2025",4,6,0,0,0,30,4,2,2,1,0,1,3,15,4,50,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Control5","2025",4,1,0,0,1,8,4,1,1,0,0,3,2,66,4,0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Exclosure6","2025",3,40,0,2,0,3,2,0,0,0,0,0,2,0,40,90,0,0,0,0,0,0,0,0,0,0,35,12,0,0,0,0,0,0,0,0,0
"Partial6","2025",2,20,0,0,1,1,2,0,1,0,0,0,1,20,25,20,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
"Control6","2025",5,3,0,0,2,20,3,1,1,2,0,1,3,50,6,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
